Number,Name,UsedObjects,Training
1,WoodenChair,1,0
2,Apple,1,0
3,Mattress,1,0
4,BigHammer,1,0
5,Screwdriver,1,0
6,Knife,1,0
7,Fan,1,0
8,Watermelon,1,0
9,Suitcase,1,0
10,Book,1,0
11,Suitcase,0,0
12,Papers,1,0
13,Scotch,1,0
14,WoodenLog,1,0
15,MetalChair,1,0
16,PlasticChair,1,0
17,Handbag,1,0
18,iPhone,0,1
19,Macbook,1,0
20,OldMobilePhone,1,0
21,OldTelevision,1,0
22,Bread,1,0
23,GlassWaterBottle,0,0
24,PlasticWaterBottle,0,1
25,MetalDrawers,1,0
26,WoodDrawers,1,0
27,GlassEmptyBottle,1,0
28,Lamp,1,0
29,CampLamp,1,0
30,DeskLamp,0,0
31,Bicycle,1,0
32,WheelRim,1,0
33,Tire,1,0
34,Diamond,1,0
35,Gold,1,0
36,Silver,0,0
37,Saw,1,0
38,Cup,1,0
39,WorkerHelmet,0,0
40,RiderHelmet,1,0
41,Rope,0,0
42,MetalCable,0,0
43,UhuStick,0,0
44,Glue,0,0
45,FlexGlue,0,0
46,Backpack,0,0
47,Pants,0,0
48,Shirt,1,0
49,TShirt,0,1
50,Drill,1,0
51,Jeans,1,0
52,Vespa,1,0
53,Glass,0,1
54,BaseballBat,1,0
55,Flashlight,1,0
56,Beer,0,0
57,Perfume,1,0
58,Toothpaste,1,0
59,Toothbrush,1,0
60,Grapes,0,0
61,Shoe,0,0
62,Sneaker,1,0
63,Sandal,1,0
64,Mirror,0,0
65,ElectricSaw,1,0
66,StuffedFox,0,0
67,StuffedHedgehog,0,1
68,BirdPainting,1,0
69,HorsePainting,0,1
70,DogPainting,0,0
71,StuffedDog,0,0
72,StuffedBear,1,0
73,EmbalmedBird,1,0
74,EmbalmedTiger,0,0
75,WoodenSled,1,0
76,Whip,0,0
77,Battery,1,0
78,EmbalmedDeer,1,0
79,EmbalmedFish,0,0
80,CoatHanger,1,0
81,Microscope,1,0
82,Binoculars,1,0
83,WoodenBowAndArrows,0,0
84,PlasticBowAndArrows,1,0
85,Dumbbells,1,0
86,Skate,1,0
87,Sunglasses,1,0
88,Calculator,0,0
89,Gun,1,0
90,FryingPan,1,0
91,Statue,1,0
92,Painting,0,0
93,Dynamite,1,0
94,Milk,1,0
95,Keyboard,0,0
96,CartonBox,1,0
97,WoodMetalShovel,1,0
98,PlasticShovel,1,0
99,MousePC,0,0
100,Rug,1,0
101,Chandelier,1,0
102,MagnifyingGlass,1,0
103,WoodTable,1,0
104,GlassWoodTable,1,0
105,PlasticTrashcan,1,0
106,HockeyStick,0,1
107,Umbrella,1,0
108,Guitar,1,0
109,Tuba,1,0
110,Blanket,0,1
111,Violin,0,1
112,Trumpet,1,0
113,PottedTree,1,0
114,Toaster,1,0
115,MiniFridge,0,0
116,DeskChair,1,0
117,Printer,0,0
118,CoffeeMachine,0,0
119,PottedPlant,0,0
120,XboxOne,0,0
121,Gasoline,0,0
122,ToyFordRanger,0,0
123,OldTelescope,1,0
124,BoxingGloves,1,0
125,Boot,1,0
126,OldBook,1,0
127,WalkingStick,1,0
128,Axe,1,0
129,Notebook,0,0
130,Nail,0,0
131,WoodenWheel,1,0
132,Sponge,1,0
133,SwissBlade,1,0
134,DoorOpener,0,0
135,GardeningScissors,1,0
136,DoorRam,0,0
137,TreeCutter,0,0
138,Pick,0,1
139,Rock,1,0
140,Pinecone,1,0
141,ElectricGuitar,1,0
142,Vase,1,0
143,Safebox,1,0
144,Cannon,1,0
145,Camera,1,0
146,PickleJar,0,0
147,DesktopPC,0,0
148,MetalBriefcase,1,0
149,ElectricKeyboards,1,0
150,FireExtinguisher,1,0
151,RubberDuck,1,0
152,Quartz,1,0
153,HoneyJar,1,0
154,FlowerVase,0,0
155,BedFrame,1,0
156,MetalFan,0,0
157,Blackboard,1,0
158,IroningBoard,1,0
159,Mixer,0,0
160,Microwave,0,0
161,PendulumClock,1,0
162,CouchChair,1,0
163,YogaMat,0,0
164,TissueBox,0,0
165,Duvet,0,0
166,StandingLamp,0,0
167,PlasticShelf,0,0
168,Brick,1,0
169,Mask,0,0
170,CarWheel,1,0
171,Motorcycle,0,0
172,Grill,1,0
173,Foosball,1,0
174,Oven,0,0
175,MetalWoodenTable,0,0
176,Drone,0,0
177,VaccumCleaner,1,0
178,TennisRacket,1,0
179,Speakers,0,0
180,CatCondo,0,0
181,DogHouse,0,0
182,DogKennel,0,0
183,Pot,0,0
184,ElectricHeater,1,0
185,GasHeater,0,0
186,PanelRoomDivider,0,0
187,MirrorSilverFrame,1,0
188,BasketballBall,1,0
189,BasketballHoop,0,0
190,ParkBench,1,0
191,Drums,0,0
192,Katana,1,0
193,PastaMaker,0,0
194,SewingMachine,0,0
195,Kettle,0,0
196,Stroller,1,0
197,Shampoo,1,0
198,GasTank,0,0